Summary,Description,Custom field (Epic Link),Component/s,Component/s
Vegkart SOSI-eksport tar for lang tid,"Det går ikke an å teste sosieksport fordi knappen er ""død"". Det fremgår kun som en tekst. Mulig dette handler om mine tilganger?

[https://www.utv.vegvesen.no/nvdb/vegkart/v3/#kartlag:geodata/@600000,6895453,3]

 

Jeg ser nå at jeg har vært for utålmodig - både på Edge og Chrome kommer med sosi-resultat etter ca 20 sek. (og det er jo såpass

lenge at man gir opp...) ",NVDB-6937,Eksport,
NVDBREF-610 : Dokumentasjon - Hyperlink virker ikke,"Velger Dokumentasjon og FV860 S2. Velger objektet på meter 7882 id 927786735.

Hyperlinken virker ikke.

[https://vegkart.test.atlas.vegvesen.no/#kartlag:geodata/@609344,7674171,8/hva:~(~(id~446))/hvor:~(vegsystemreferanse~(~'FV860S2))/valgt:927786735:446]

Tester det samme i vegkart-2019

[https://vegkart-2019.test.atlas.vegvesen.no/#kartlag:geodata/hva:(~(farge:'0_0,id:446))/hvor:(vegreferanse:(~'FV860))/@611433,7672251,9/vegobjekt:927786735:40a744:446]

og her virker linken og jeg kommer inn i saksdokumentet.",NVDB-6937,Vegkart,
Feil i hodet på sosifil,"I eksporten så blir ekstremalverdiene i sosifila feil. Og sosiversjon 5.0 tror eg er litt tidlig å bruke ennå.. dessuten tror jeg det er riktig å bruke 8.1 siden det er NVDB data
Slik filen er direkte fra vegkart så får man bla ikke transformert eller tegnet/vist den for eksempel i gisline. import til quadri og eksport til ny sosifil gir riktige ekstremalverdier

Eksport fra vegkart:
!image-2020-03-25-11-11-14-309.png|width=460,height=255!
 
Her er sosifil importert i quadribase (gisline) og eksportert ut til sosi. Ekstremalverdier er nå riktige.. 
!image-2020-03-25-11-11-53-512.png|width=422,height=252!",NVDB-6937,Eksport,
En del vegstrekninger og sideanlegg mangler strekning i vegref,"{color:#172b4d}En del vegstrekning mangler utstrekning i vegreferansen{color}
{color:#172b4d} Eksempler:{color}
 [https://www.test.vegvesen.no/nvdb/api/v3/vegnett/veglenkesekvenser/segmentert/3174486]
{color:#172b4d} ""kortform"": ""EV6""{color}
 [https://www.test.vegvesen.no/nvdb/api/v3/vegnett/veglenkesekvenser/segmentert/121759]
{color:#172b4d} ""referanse"": ""121759-3-1"",{color}
{color:#172b4d} ""kortform"": ""EV39""{color}
{color:#172b4d}  {color}
{color:#172b4d} Mange sideanlegg mangler strekning i vegreferansen{color}
{color:#172b4d} Eksempler:{color}
 [https://www.test.vegvesen.no/nvdb/api/v3/vegnett/veglenkesekvenser/segmentert/1728393]
{color:#172b4d} ""kortform"": ""EV6 SD1 m40-144""{color}
{color:#172b4d} osv.{color}
{color:#172b4d}  {color}
 [https://www.test.vegvesen.no/nvdb/api/v3/vegnett/veglenkesekvenser/segmentert/2246024]
{color:#172b4d} ""kortform"": ""EV18 SD1 m0-12""{color}
{color:#172b4d}  {color}
 [https://www.test.vegvesen.no/nvdb/api/v3/vegnett/veglenkesekvenser/segmentert/141495]
{color:#172b4d} ""kortform"": ""EV18 SD1 m107-111""{color}
{color:#172b4d} osv.{color}
{color:#172b4d}  {color}
 [https://www.test.vegvesen.no/nvdb/api/v3/vegnett/veglenkesekvenser/segmentert/2507018]
{color:#172b4d} ""kortform"": ""EV18 SD1 m115-152""{color}
{color:#172b4d} osv.{color}
{color:#172b4d}  {color}",NVDB-6937,Les-API,
NVDBREF-597 : Vegkart viser ikke alle objekter / feiler ved innhenting av vegobjekter,"Har oppdaget et problem i datafangst, med at jeg ikke kan sammenkoble objekter mot et spesifikt vegobjekt (tunelløp). Etter å ha sjekket i vegkart.no så var ikke objektet å finne der heller, så da sjekket jeg mot NVDB123 og forsikret meg at vegobjektet enda eksisterte. Det som er merkelig er at samme vegobjekt er å finne i v2 av vegkart. Jeg har linket til URL for v2 og v3 mot samme vegobjekt, slik at dere kan finne ut av dette. Jeg trenger tilgang til dette slik at jeg kan fullføre innlesing av datafangstprosjektet mitt.

[https://www.vegvesen.no/nvdb/vegkart/v2/#kartlag:geodata/hva:(~(farge:'0_1,id:67))/@-32118,6573055,14/vegobjekt:1004740896:40a744:67]

[https://vegkart.atlas.vegvesen.no/#kartlag:geodata/@-31923,6573235,13/hva:~(~(id~581))/valgt:1004740896:67]

OPPDATERING: Denne saken er ganske kritisk, siden dette påvirker hvert enkelt system som bruker v3. Jeg hørte fra noen som jobber i Plania, at antallet i summeringsrapportene deres gir feil utslag. I vegkart v2 er antallet rett. Dette var et eksempel på Vifte/ventiltor.

I BRUTUS så dukker feilmelding opp i kartvisningen: Det har oppstått en feil. Følgende feilmelding ble mottatt fra NVDB: 503.",NVDB-6937,Les-API,
Mangler valideringsfeil ved opplasting av enkeltstående vegobjekt,"h2. Observasjon
Last opp ett enkelt vegobjekt til en samling med ekstern API (dvs. POST til en feature collection). Legg inn en valideringsfeil av typen som valideres mot Skriv for data i vegobjektet, f.eks. ulovlig verdi for attributt. Denne feilen blir ikke gitt tilbake i respons.

h2. Analyse
Ved opplasting av enkeltobjekter gjøres validering synkront. Da er det kun feil fra ""file validation"" som gis tilbake, dvs. syntax for GeoJSON, versjon av datakatalog, osv. 
For å få ønsket resultat må også resultatet fra ""feature validation"" være med i retur.",NVDB-6937,Datafangst,
Posisjonsoppslag finner ikke vegobjekt,"Halvor Lund på Gitter:
{quote}
Da har vi byttet over til Atlas! Kan det hende at v3 mangler noen feltstrekninger (616-objekter)? Som eksempel har veglenke(sekvens) 0.38202973@2433139 feltstrekning i v2, men ikke i v3, men mistenker at det gjelder flere veglenke(sekvens)er:
NVDB v2: https://www.vegvesen.no/nvdb/api/v2/vegobjekter/616?inkluder=egenskaper&veglenke=0.38202973@2433139&antall=1000
NVDB v3: https://nvdbapiles-v3.atlas.vegvesen.no/vegobjekter/616?inkluder=egenskaper&veglenkesekvens=0.38202973@2433139&antall=1000
{quote}
",NVDB-6937,Les-API,
Avvise import av vegobjekter med geometrifeil,"h2. Observasjon
Det er en del type geometrifeil som bruker ikke kan rette selv på en fornuftig måte. Noen (målemetode og nøyaktighet) er synlige i Datafangst, men er ikke redigerbare. Andre (som høyde) kan heller ikke vises direkte. Det er også lite hensiktsmessig at dataforvalter skal rette en del av disse feilene. Når det er feil med geometrien er det vanskelig å vite nøyaktig hvordan det skulle ha vært.

Det er tidligere opprettet egne saker for noen slike feil, se NVDB-5273 for feil med høydekoordinater, NVDB-5274 for feil med irregulær geometri, og NVDB-5369 for ugyldig målemetode.

h2. Analyse
Bruker har ikke muligheten til å rette opp denne typen feil i Datafangst i dag. Når det er feil med geometri virker det også mer hensiktsmessig at denne feilen blir meldt tilbake til entreprenør, sånn at hen kan sende inn riktige data.

Datafangst burde avvise vegobjekter med geometrifeil på import, på samme måte som geometriparametre utenfor tillatt område i schema blir avist i NVDB-5356.

h2. Forslag til løsning
I dag så kjøres det en validering mot Skriv ved import. Denne bør endres slik at gitte koder gjør at en feil merkes som ""belongsToRejectedFeature"" (på Location under feilen), da vil vegobjektet automatisk bli avvist etter at endringer i NVDB-5356 er merget inn.

Koder som må hånteres er:
* IRREGULÆR_GEOMETRI (NVDB-5274)
* UGYLDIG_KVALITETSPARAMETER (NVDB-5369)
* HØYDE_UTENFOR_GYLDIGHETSOMRÅDE (NVDB-5273)

Eventuelt også GEOMETRI_MED_INKONSEKVENT_HØYDE, er litt usikker på om vi klarer å få til denne i Datafangst. De kommer når noen koordinater har høyde satt i en geometri, og andre ikke. Kan testes ved å fjerne en høyde fra en fil som ellers har det, og se hvor langt den kommer.

Se DefaultFeatureListValidator.validateNvdb for et egnet sted å koble på sjekk av kode.

h2. Test
Se sakene med enkeltfeil som er lenket i denne saken for å finne testcase.",NVDB-6937,Datafangst,
Innsending med prosjektreferanse bør oppdatere objektene i datafanen,"Basert på sak NVDB-5323.

Hvis man har satt en verdi for prosjektreferanse på enkeltobjektene i datafanen, men registrerer med kontraktens prosjektreferanse, så vil enkeltobjektene ligge som synkroniserte i datafanen - *men* med en prosjektreferanse som ikke stemmer med hva som er lagret i NVDB.

Her ville det naturlige være å oppdatere disse objektenes prosjektreferanseegenskap med den som er lagret på objektet. Det samme gjelder objekter som ikke har satt prosjektreferanseegenskapen i datafanen.

Usikker på om dette vil skape krøll for de som bruker referansen aktivt. Evt kan vi høre med Jan Vidar Strømsvold, som under demo brukte prosjektreferansen aktivt.",NVDB-6937,Datafangst,
filter `relasjon` in `vegobjekter?egenskap` is failing,https://github.com/nvdb-vegdata/nvdb-api-client/issues/60,NVDB-6937,Les-API,
Bedre gruppering av logglinjer fra ett request,"Logging i Datafangst bruker i dag feltet ""requestNo"" i logg for å gruppere alle linjer i ett request. Dette er bare et løpenummer, som gjør det vanskelig å søke på. I tillegg så er ikke navnet tydelig på hva det er, og gjør at flere ikke vet om det.

Som et minimum så burde feltet endre navn, og nummer kodes som en fast streng i BASE36 (""00000A01C2"") sånn at det er enklere å søke opp uten å spesifisere feltet direkte.

I tillegg så kan det gjøres flere forbedringer rundt dette (muligens som egne saker):
 * Ta inn generert request-ID fra klient og kombinere med intern request-ID (logges som ""frontend07-00000A01C2"")
 * Lage en request-ID på frontend før hver kall og sende den med for logging

Disse siste to punktene er registrert som NVDB-5623",NVDB-6937,Datafangst,
Grafbare responstider i Datafangst,"Datafangst logger responstid per kall i dag (i AccessLogFilter), men gjør det på en måte som er vanskelig å lese og å grafe.

Vi har tidvis klager om at Datafangst er treigt, såd et hadde vært veldig nyttig å grafe responstider over tid. Det skal veldig lite til for å omstrukturere denne logginga for å gjøre det enkelt å grafe. Responstid må logges som et eget felt, og gjerne også responskode.

Tekst som logges bør også endres til å være mindre krypisk.",NVDB-6937,Datafangst,
Gjøre eksternAPI-dokumentasjonen lettere å lese,"[https://apiskriv.vegdata.no/datafangst.html]

Gjøre API-dokumentasjonen lettere å lese:
 * Alle endepunkt med
 * Dataobjekt beskrevet
 * Evt gruppere på type
 * Bedre visning 

Repo: [https://github.com/nvdb-vegdata/apiskrivdokumentasjon]",NVDB-6937,Datafangst,
Paus NVDBIND dersom Solr ikke er OK,"Paus alle operasjoner mot Solr dersom en eller flere av Solr-helsesjekkene feiler. 
Pausing kan også gjøres fra Forvaltning.

Testes ved å se i logg at progresjon stopper.",NVDB-6937,NVDB-IND,
Bruk soft commit,Se om vi kan bruke soft commit mer i nvdbind,NVDB-6937,NVDB-IND,
En spørring per område,"Når man velger flere områder lager Vegkart en spørring med alle områdene i en egenskapspørring.
Endre til å gjøre en spørring per område",NVDB-6937,Vegkart,
Konverteringsfeil på posisjoner med lesing fra ekstern API,"h2. Observasjon
Sigmund Fredriksen rapporterer på datafangst-support 27. mars om at de mener at de ser en forskjell på posisjon i WGS84 på hva de sender inn med ekstern API, og hva de leser tilbake.

""Som tidligere nevnt jobber vi nå med å skrive oss bort fra internAPI’et i Datafangst.

Vi ser at dere nå i kartet i Datafangst konverterer korrekt fra UTM33 til WGS84. Vi har også dataene korrekt i vår gamle klient (da konverterer vi selv fra UTM33 til WGS84). Men i vår nye klient er den lille forskyvingen tilbake. Her mottar vi dataene i WGS84 fra Datafangst.

Kan dere sjekke om dere fortsatt konverterer litt unøyaktig i dataene som leveres ut via GeoJSON på endepunktet SINUS entreprenør mottar dataene?

Antenne i Vardø i SINUS entreprenør med WGS84 koordinater konvertert i datafangst. Antenne ligger på «prikken» både i gamle SINUS entreprenør og i Datafangst-kartet.""

h2. Analyse
Jeg har ikke test-data fra Triona, men tester med et vilkårlig punkt i Vardø sentrum, 31.107466° øst, 70.370236° nord. 

Hvis jeg konverterer dette til UTM 33 og tilbake til WGS 84 igjen med JTS, så blir det er avvik som kan samsvare med det Triona ser. Jeg har også prøvd med [Proj4J|https://github.com/locationtech/proj4j], som gir et veldig likt resultat. Konverteringa som Triona gjør fra UTM 33 gjøres i JavaScript med [Proj4JS|https://github.com/proj4js/proj4js]. Har også kjørt en test med konvertering fram og tilbake der, og da ender jeg opp med posisjonen som ble putta inn, så den er i alle fall symetrisk.


||          || JTS                                                                           || Proj4J (java)                                                         || Proj4JS (JavaScript)                                              ||
| UTM 33 | 1097734.0253844042E, 7886942.538062702N | 1097734.0257150712E, 7886942.536846994N | 1097734.0328950887E, 7886942.538235272N |
| WGS 84 | 31.107395949840612E, 70.37023701197327    | 31.107395949840626E, 70.37023697572975N | 31.107466000000006E, 70.370236N                  |

Når JTS kjøres med assertions (default i IDEA) så får jeg denne meldinga: 
bq. The transform result may be 2.622 meters away from the expected position. Are you sure that the input coordinates are inside this map projection area of validity? The point is located 16°06.4'E away from the central meridian and 70°22.2'N away from the latitude of origin. The projection is ""Transverse_Mercator"".
Forventet avvik der stemmer i alle fall ganske godt med resultatet.
",NVDB-6937,Datafangst,
NVDBREF - 600 (B) Feil i metrering av kryssdeler,"Håvard har meldt feil på kryssdeler. Har sjekket originaldataene for disse eksemplene, og kryssdelene ser helt riktige ut når jeg henter dem ut i NP. Så her spørs det om LES ikke håndterer dette riktig. Bør sjekkes om tilsvarende problem gjelder sideanleggsdeler.

*Rampefeil:*

Det viser seg også å være mange metreringsfeil på ramper.  En gjenganger ser ut til å være at rampeløpet starter på et høyt metertall (burde vært 0) og stiger for deretter å sprette tilbake til 0 og så stige igjen.

 

Eksempel 1:

WARN  Segment1.MeterBreak;3001;2572844-3-6;0,69121467;1;2793371;2572840;0;;E;V;6;S1D1 M4229;K;1001;4;654;668;K;;;;3;1;;286644;6560321;28;286635;6560332;28

WARN  Segment2.MeterBreak;3001;971313-2-11;0,00713499;0,14238919;2572840;3087634;0;;E;V;6;S1D1 M4229;K;1001;4;0;88;K;;;;3;1;;286635;6560332;28;286565;6560380;28

 

[https://www.vegvesen.no/nvdb/vegkart/v3/#kartlag:geodata/@286575,6560318,16/hvor:~(vegsystemreferanse~(~'EV6S1D1))/vegnett:~'geometri+~()/valgt:2572844:3:6]

 

Eksempel 2:

WARN  Segment1.MeterBreak;3003;971315-1-10;0;0,03556154;990196;1717232;0;C;E;V;6;S2D1 M4241;K;1002;4;342;346;K;;;;3;;;283119;6566219;20;283120;6566223;20

WARN  Segment2.MeterBreak;3003;1717245-1-8;0;0,71273572;1717232;3091737;0;;E;V;6;S2D1 M4241;K;1002;4;0;243;K;;;;3;1;;283120;6566223;20;283267;6566085;20

 

[https://www.vegvesen.no/nvdb/vegkart/v3/#kartlag:geodata/@283258,6566203,15/hvor:~(vegsystemreferanse~(~'EV6S2D1))/vegnett:~'geometri+~()/valgt:971315:1:10]

 

Andre rampeproblemer:

Eksempel 3: Sør for Ryenkrysset. Komplisert rampesystem: Skjønner ikke helt hva som er problemet her

WARN  Segment1.MeterGap 49,000m;301;2516106-2-6;0,35819621;1;2516103;2516104;0;;E;V;6;S16D1 M545;K;1028;2;41;114;K;;;;3;1;;265435;6646451;134;265393;6646508;132

WARN  Segment2.MeterGap 49,000m;301;625635-12-6;0,19867722;0,46165134;2516104;640323;0;;E;V;6;S16D1 M545;K;1028;2;163;365;K;;;;3;1#3K;;265393;6646508;132;265338;6646702;130

 

[https://www.vegvesen.no/nvdb/vegkart/v3/#kartlag:geodata/@265487,6646387,15/hvor:~(vegsystemreferanse~(~'EV6S16D1))/vegnett:~'geometri+~()/valgt:2516106:2:6/vegsystemreferanse:265482.78:6646950.581]

 

Eksempel 4:

Ryenkrysset: Skjønner ikke konstruksjonen her!

WARN  Segment1.MeterDirectionProblem?;301;2704126-1-6;1;0;2703939;2703938;0;;E;V;6;S16D1 M1209;K;1029;5;42;61;K;;;;2;1;MOT;265439;6647182;129;265437;6647200;130

WARN  Segment2.MeterDirectionProblem?;301;2373738-4-8;0,73567446;0,91670658;2703938;3066632;0;;E;V;6;S16D1 M1209;K;1029;5;42;72;K;;;;3;1;;265437;6647200;130;265430;6647208;129

 

[https://www.vegvesen.no/nvdb/vegkart/v3/#kartlag:geodata/@265433,6647068,15/hvor:~(vegsystemreferanse~(~'EV6S16D1))/vegnett:~'geometri+~()/valgt:2704126:1:6]

 

Eksempel 5: Åpenbar metreringsfeil men skjønner ikke hva som er årsaken: En veldig kort lenke med mange meter (fra 0 til 285), deretter en lang lenke med få meter (fra 0 til 35) - atpåtil på samme veglenke.

WARN  Segment1.MeterDirectionProblem?;4204;121315-1-9;0;0,04750256;140647;2946519;0;C;E;V;18;S4D1 M265;K;1006;2;0;285;K;;;;3;;;94920;6468350;16;94916;6468353;16

WARN  Segment2.MeterDirectionProblem?;4204;121315-2-9;0,04750256;0,38372629;2946519;140638;0;;E;V;18;S4D1 M265;K;1006;2;0;35;K;;;;3;1;;94916;6468353;16;94905;6468384;15

 

[https://www.vegvesen.no/nvdb/vegkart/v3/#kartlag:topo4/@94918,6468336,17/hvor:~(vegsystemreferanse~(~'EV18S4D1))/vegnett:~'geometri+~()/valgt:121315:1:9/vegsystemreferanse:95211.199:6469009.446]

 

Eksempel 6: Rampeløpet er metrert i feil retning?

WARN  Segment1.MeterDirectionProblem?;4202;21738-13-12;0,31928508;0,48617094;3096409;27110;0;;E;V;18;S10D1 M160;K;1017;3;0;185;K;;;;3;1;;123769;6484776;33;123692;6484783;35

WARN  Segment2.MeterDirectionProblem?;4202;21738-4-11;0,48617094;0,61975806;27110;1706661;0;;E;V;18;S10D1 M160;K;1017;3;0;65;K;;;;2;1#2;;123692;6484783;35;123637;6484774;33

 

[https://www.vegvesen.no/nvdb/vegkart/v3/#kartlag:geodata/@123832,6484737,16/hvor:~(vegsystemreferanse~(~'EV18S10D1))/vegnett:~'geometri+~()/valgt:21738:12:10]

 

*Løsning*

Finner ikke noe mer feil enn det som er rettet i NVDB-5200. I tillegg er det endel ""datafeil"" ved at rekkefølgen på stedfestinger til kryssdeler er feil, slik at meter 0 starter midt inne i kryssdelen osv. Gjennomgang av alle eksempler her:
 * Eksempel 1 og 2: Ser rett ut fra dataene som ligger der, men det kan se ut som det er en ""datafeil"". Om stedfestingene til kryssdelen hadde byttet plass, ville meter 0 startet ut fra rundkjøringen. Rekkefølgen på stedfestingene for kryssdel er avgjørende for meterberegningen, starter med meter 0 på starten på første stedfesting.
 * Eksempel 3: Her er det 3 stedfestinger på kryssdelen. Det ser ut som den første og andre må bytte plass for å få meter 0 i starten av kryssdelen. Nå starter meter 0 litt inni, noe likt eksempel 1 og 2. Forsatt ser det riktig ut gitt de dataene som er der.
 * Eksempel 4: Litt vanskelig å knekke denne, KD5 består av en slags liggende T, der ene utløpet har metreringsretning MOT. Her er det en feil med meterberegning, men den ser ut til å ha blitt rettet i NVDB-5200. Vedlagt bilde på hvordan metrering går.
 * Eksempel 5: Retting i NVDB-5200 ser ut til å forbedre der det mangler start/sluttmeter (altså den som har 0-285). I tillegg er det likt eksempel 1, at rekkefølgen på stedfestinger til kryssdel burde endres litt for at det skal bli riktig (meter 0 ut fra rundkjøringen)
 * Eksempel 6: Første og andre stedfesting til kryssdelen (kryssdel 3) må bytte plass. I tillegg har feilen som gav 0-185m på den ene lenken blitt rettet i NVDB-5200.

 Det er altså ingen kodeendringer i denne saken, men tester den igjen etter NVDB-5200 er klar.

 ",NVDB-6937,Les-API,
Avviser følgeoppdatering av ikke-versjonerbart vegobjekt som lukkes i endringssettet,"h2. Observasjon

Endringssettet https://www.test.vegvesen.no/nvdb/apiskriv/kontrollpanel/#/jobs/view/0589bee7-0a8f-488c-8ab7-8d39dc67b713 avvises fordi det ikke kan lages følgeoppdatering (ny versjon med redusert stedfesting) på vegobjekt av type som ikke tillater versjonering.

h2. Analyse

I endringssettet lukkes strekningen 0.497689207642542-1.0 på lenkesekvens 3198119 på dato 2020-03-25. Under behandling finner filteret AdaptFeaturesToClosedNetworkEnricherFilter ut at følgende fire vegobjekter som alle har stedfesting 0.0-1.0@3198119, dvs. er delvis stedfestet på det lukkede vegnettet:

1) Serviceveg (924), id 1006280902:1
2) Vegmyndighet kan bli endret (922), id 1006280900:1
3) Beredskapsveg (923), id 1006280901:1
4) GSV langs annen vegkategori (949), id 1006280899:1

Samtlige vegobjekter har startdato 2020-03-01, som er før lukkedato for vegnettet. Dermed forsøker det nevnte filteret å versjonere de fire vegobjektene med startdato 2020-03-25 på versjon 2. Før jobben berikes med denne følgeoppdateringen kontrolleres at vegobjekttypen tillater versjonering. I dette tilfelle gjør ingen av de fire vegobjekttypene det, og det registreres en følgeoppdateringsfeil pga. dette. At de fire vegobjektene blir lukket i endringssettet på samme dato som vegnettet lukkes, tas ikke hensyn til før litt senere i filteret.

h2. Løsning

Flytter kontrollen på versjonerbarhet til etter berikingen er godkjent for jobben og nye versjoner skal til å bli innlemmet i jobben.",NVDB-6937,Skriv-API,
Catch-all-route i veglister,Håndtere dynamiske ruter i vegliste-applikasjonen slik at for eksemel */arbeid* kan deles som en lenke,,Rapportgenerator,
Stedfesting 2: Blå ramme rundt checkbox på Firefox,"På Firefox kommer det en blå ramme rundt checkboxer på visningsvalg.

Litt feilsøking viser at disse er knyttet til CSS for outline på klasse placeholder-checkbox, dvs. hvis man fjerner denne definisjonen i inspector så blir ramme borte.",NVDB-6937,Datafangst,
NVDBREF-576: (A) Alle objekter mangler segmenter,"Url=https://www.vegvesen.no/nvdb/api/v3/vegobjekter/538?inkluder=egenskaper,vegsegmenter,metadata
Dette har fungert tidligere men gir nå fullstendig manglende stedfesting for absolutt alle objekter. Kun egenskaper og metadata kommer ut mens stedfestingen returneres som ""vegsegmenter"": []
Problemet startet i natt og er vedvarende i dag. 
Det ser imidlertid ut som relativt begrensede datamengder inneholder vegsegmenter.",NVDB-6937,Les-API,
Ønske om å oppgi posisjon for å få ut det aktuelle segmentet for posisjonen,"Mottatt fra Tor K Moseng:

Et ønske fra gitter er å kunne hente ut et vegsegment for en gitt posisjon på en veglenkesekvens. F.ex [https://www.vegvesen.no/nvdb/api/v3/vegnett/veglenkesekvenser/segmentert/2726198] gir ut alle for 2726198, mens brukeren ønsket å kunne gi inn posisjon for å få ut kun det aktuelle segmentet for denne posisjonen.",NVDB-6937,Les-API,
Analyser datafeil 2,"*Gjøres først i mai/juni.*

Oppgaven går på å gjøre samme oppgave som i NVDB-5034 med fokus på fra og med april da flere av feilene som ble oppdaget er fikset. Se om det har kommet til noen flere/andre.

I nvdb-skrive-api prosjektet ligger det et skript man kan kjøre (nvdb-skrive-api/performance-test/src/test/python/rejectReasonsInProd). Eksempel:
{noformat}
** Example 1 **
Find reject reasons for all clients Des 2019 - Feb 2020
$ python3 getChangesets.py --user exttxm --fTime 1575154800000 --tTime 1583017200000

** Example 2 **
Find reject reasons for Datafangst Des 2019 - Feb 2020 and changeset ids for errors that Datafangst should handle (found through Example 1)
$ python3 getChangesets.py --user exttxm --fTime 1575154800000 --tTime 1583017200000 --client Datafangst --errorCodes UGYLDIG_KVALITETSPARAMETER,UGYLDIG_FLERVERDI,IRREGULÆR_GEOMETRI,HØYDE_UTENFOR_GYLDIGHETSOMRÅDE,STØRRE_ENN_ABSOLUTT_MAKSIMUM,MANGLER_OBLIGATORISKE_EGENSKAPER,EGENSKAPEN_FINNES_IKKE,FLERE_ENN_MAKSIMUM_ANTALL,OVERSKRIDER_FELTLENGDE{noformat}
Se på NVDB-5034 og de identifiserte feilene for å se om ting er bedre.",NVDB-6937,Datafangst,
NVDBREF-597: Vegkart viser ikke alle objekter/feiler ved innhenting av vegobjekter,"Har oppdaget et problem i datafangst, med at jeg ikke kan sammenkoble objekter mot et spesifikt vegobjekt (tunelløp). Etter å ha sjekket i vegkart.no så var ikke objektet å finne der heller, så da sjekket jeg mot NVDB123 og forsikret meg at vegobjektet enda eksisterte. Det som er merkelig er at samme vegobjekt er å finne i v2 av vegkart. Jeg har linket til URL for v2 og v3 mot samme vegobjekt, slik at dere kan finne ut av dette. Jeg trenger tilgang til dette slik at jeg kan fullføre innlesing av datafangstprosjektet mitt.

[https://www.vegvesen.no/nvdb/vegkart/v2/#kartlag:geodata/hva:(~(farge:'0_1,id:67))/@-32118,6573055,14/vegobjekt:1004740896:40a744:67]

[https://vegkart.atlas.vegvesen.no/#kartlag:geodata/@-31923,6573235,13/hva:~(~(id~581))/valgt:1004740896:67]",NVDB-6937,Les-API,
Ugyldig målemetode blir innsendt til Skriv,"h2. Observasjon

Datafangst tar ikke hensyn til valideringsfeil fra Skriv ved opplasting. Se relaterte saker det er lenket til. Her er det ugyldig høydemetode som Skriv sier i fra om, Datafangst gir beskjed i filfanen, men laster inn objektene. En bruker som ikke er oppmerksom i filfanen (og hvorfro skal hen det når objektene blir importert) får først beskjed om dette ved registrering til API Skriv.

Eksempel endringssett: [https://www.vegvesen.no/nvdb/apiskriv/rest/v3/endringssett/2509943f-f16d-4c83-b00b-ca22e0f2267f]

Endringssettet kommer fra kontrakt: [https://datafangst.kantega.no/#!/contract/ddd092b6-863e-499f-8cfd-c160465257c3/files]

Bruk gjerne vedlagte SOSI for å gjenskape.",NVDB-6937,Datafangst,
Endrede assosiasjoner oppdateres ikke i databasen etter registrering,"h2. Observasjon

Kommer fra testing av NVDB-5348. Viste seg at feilen eksisterte før denne saken. Observasjonene ligger i kommentarer på denne saken, men er gjengitt her.

Tar inn en NVDB-skiltplate, kobler denne til ny NVDB-mor. Da vil sammenkoblingsfanen vise at skiltplata er koblet til to mødre. Fjerner da manuelt den gamle koblinga. Registrerer. Så tar jeg inn en helt ny skiltplate og kobler til ny NVDB-mor. Endringssettet ser riktig ut for akkurat denne koblinga, *men* forrige re-assosiasjon kommer også med på denne registreringen. Dvs at allerede utført re-assosiasjon kommer med på ny registrering s.a. denne feiler med versjonskrøll da Datafangst vil oppdatere versjon 1 som nå er blitt til versjon 2 pga forrige registrering. Ny registrering bør ikke ta med endringer som allerede er utført.

Feil som kastes i eskportfanen: _1006280773: Versjon oppgitt for oppdatering er ikke siste versjon. Siste versjon er 4_

Databasen ser slik ut ved de ulike stegene
{noformat}
Initielt
99a8ae06-9f0a-4bed-8a19-0f72e534bac3 1006280030 fd3e6e54-1976-4f96-b94e-cb7e30e31b03 READ 
Koblet til ny mor (derfor vises det dobbelt i UI)
99a8ae06-9f0a-4bed-8a19-0f72e534bac3 1006280030 fd3e6e54-1976-4f96-b94e-cb7e30e31b03 READ
dd0a5d27-ebdc-45e5-a74a-15fe370655ac 1006280773 fd3e6e54-1976-4f96-b94e-cb7e30e31b03 WRITE 
Koblet fra gammel mor (manuelt i UI)
3f085af4-1629-45fd-b2c7-dca479ab2814 1006280773 fd3e6e54-1976-4f96-b94e-cb7e30e31b03 WRITE
99a8ae06-9f0a-4bed-8a19-0f72e534bac3 1006280030 fd3e6e54-1976-4f96-b94e-cb7e30e31b03 DELETE
Etter registrering
3f085af4-1629-45fd-b2c7-dca479ab2814 1006280773 fd3e6e54-1976-4f96-b94e-cb7e30e31b03 WRITE
99a8ae06-9f0a-4bed-8a19-0f72e534bac3 1006280030 fd3e6e54-1976-4f96-b94e-cb7e30e31b03 DELETE 
Lagt inn ny skiltplate
aaf6640b-f392-4212-8cab-71cd12dd21cf 1006280908 52073785-7f8f-4746-9607-6e70e6d8651e WRITE
3f085af4-1629-45fd-b2c7-dca479ab2814 1006280773 fd3e6e54-1976-4f96-b94e-cb7e30e31b03 WRITE
99a8ae06-9f0a-4bed-8a19-0f72e534bac3 1006280030 fd3e6e54-1976-4f96-b94e-cb7e30e31b03 DELETE
{noformat}
Basert på databaseinfo så oppdaterer ikke Datafangst assosiasjonene til READ etter registrering.",NVDB-6937,Datafangst,
